AncientComponent1,AncientComponent2,AncientComponent3,AncientComponent4,AncientComponent5,ModernComponent1,ModernComponent2,ModernComponent3,DateBP,Sample ID,Country
1.00E-05,0.044689,0.025802,0.017723,1.00E-05,0.008324,0.083126,0.820316,10,HG00410,CHS
0.214688,0.055472,0.023841,0.021717,0.015749,0.017622,0.621186,0.029726,10,NA20795,TSI
0.217029,0.045095,0.004655,0.02168,0.002473,0.019216,0.65534,0.034513,10,NA20802,TSI
0.207292,0.05397,0.001894,0.03254,1.00E-05,0.068974,0.61323,0.022089,10,HG01628,IBS
0.212762,0.067407,0.012527,0.019542,0.001609,0.018168,0.635822,0.032163,10,NA20812,TSI
0.209039,0.050228,0.007405,0.028667,0.007457,0.017827,0.646376,0.033001,10,NA20538,TSI
0.210223,0.061052,0.013048,0.018189,0.005042,0.014952,0.644322,0.033171,10,NA20588,TSI
0.206727,0.054572,0.014714,0.014111,0.005467,0.016665,0.644046,0.043698,10,NA20753,TSI
0.193192,0.031383,0.003876,0.025045,0.011712,0.052777,0.648663,0.033352,10,HG01630,IBS
0.201346,0.050877,0.023382,0.020899,0.014122,0.017465,0.637767,0.034142,10,NA20806,TSI
0.002281,0.042514,0.023377,0.005349,1.00E-05,0.008409,0.093659,0.824401,10,NA18646,CHB
0.21554,0.052759,0.006721,0.020644,1.00E-05,0.015865,0.66307,0.025393,10,NA20805,TSI
0.211666,0.048993,0.00582,0.020608,1.00E-05,0.01839,0.662215,0.032297,10,NA20799,TSI
0.198883,0.040798,0.018352,0.029548,0.019504,0.015376,0.638083,0.039456,10,NA20808,TSI
0.042931,0.10794,0.013512,0.080448,1.00E-05,0.00325,0.670898,0.081011,10,HG00281,FIN
0.041966,0.094894,0.016604,0.083159,0.007878,0.003193,0.678475,0.07383,10,HG00315,FIN
0.038515,0.093672,0.009677,0.082824,0.008014,0.003371,0.677206,0.086721,10,HG00368,FIN
0.206115,0.060897,0.017488,0.026176,0.009079,0.015917,0.641531,0.022796,10,NA20803,TSI
0.043676,0.083581,0.007479,0.086395,0.012609,0.002879,0.682877,0.080505,10,HG00309,FIN
0.045443,0.094026,0.009217,0.084426,0.007105,0.003151,0.686288,0.070344,10,HG00343,FIN
0.203384,0.06254,0.007112,0.017857,0.005173,0.022595,0.64488,0.036459,10,NA20814,TSI
