Sample	mean ( arch date+ 14C )	span (-+) (arch + 14C date)	total (arch + 14C span)
VK332	900	100	800-1000
VK333	900	100	800-1000
VK334	1013	37.5	975-1050
VK335	925	125	800-1050
VK336	895	95	800-990
VK337	898	98	800-995
VK342	925	125	800-1050
VK343	925	125	800-1050
VK344	925	125	800-1050
VK345	996	54	942-1050
VK346	925	125	800-1050
VK347	925	125	800-1050
VK348	925	125	800-1050
VK349	889	89	800-977
VK350	895	95	800-989
VK352	925	125	800-1050
VK353	1013	38	975-1050
VK354	971	79	892-1050
VK355	946	79	877-1035
VK357	1004	46	958-1050
VK358	896	96	800-991
VK359	737	37	700-773
VK379	737	37	700-773
VK380	925	125	800-1050
VK382	737	37	700-773
VK442	894	94	800-987
VK443	1020	30	990-1050
VK444	894	94	800-987
VK533	965	70	895-1035
